experimento,estrategia,carga,taxa,repeticao,tentativa,ordem,timestamp,throughput,requisicoes,lat_media,lat_p50,lat_p90,lat_p95,lat_p99,lat_max,leitura_p50,leitura_p95,leitura_p99,escrita_p50,escrita_p95,escrita_p99,taxa_erros,descartadas,taxa_acerto_cache,nginx_hits,respostas_304,api_requisicoes,api_ops_banco,sql_total,sql_select,api_cpu_media,api_cpu_max,api_mem_media_mib,api_mem_max_mib,pg_cpu_media,redis_cpu_media,redis_mem_media_mib,nginx_cpu_media,k6_cpu_media,k6_cpu_max,host_swap_mib,host_mem_livre_pct,sustentavel
latencia,redis,leitura,450,5,1,49,2026-09-23T04:43:40.833Z,449.7285,27001,1.3846,0.3863,2.069,2.597,3.5035,1002.3805,0.3607,1.7907,2.5988,2.5026,3.5417,5.6859,0,0,0.6627,0,0,27001,15495,34660,26756,27.33,32.66,132.05,134.3,8.92,2.71,52.89,3.62,15.69,38.99,0,47,1
latencia,memory,mista,450,5,1,50,2026-09-23T04:45:18.764Z,449.9984,27000,3.317,1.3988,2.1194,4.5232,53.2539,516.3975,0.6073,2.3872,50.2876,1.6371,5.9408,53.7252,0,0,0.3942,0,0,27000,24385,87008,47244,40.06,48.73,166.49,184,13.97,0.74,23.79,3.44,14.55,19.34,0,46,1
latencia,none,escrita,450,5,1,51,2026-09-23T04:47:24.142Z,449.9758,27001,1.5712,1.3968,1.8858,2.4478,6.1152,50.8581,0.6447,1.4719,4.0754,1.4172,2.5533,6.2733,0,0,,0,0,27001,27566,126998,56197,47.37,55.14,147.18,148,15.47,0.71,21.87,3.24,14.29,21.04,0,46,1
latencia,memory,leitura,450,5,1,52,2026-09-23T04:49:02.083Z,450.0176,27001,2.3246,0.2887,2.1442,2.7885,31.3193,1501.1139,0.2698,1.5882,31.4164,2.4785,3.8854,28.0955,0,0,0.6634,0,0,27001,15485,34638,26740,25.65,38.23,182.25,210.9,9.19,0.83,20.53,3.81,16.16,22.51,0,47,1
latencia,memory,escrita,450,5,1,53,2026-09-23T04:50:40.052Z,450.0088,27001,1.7336,1.4159,1.9393,2.8734,9.2251,501.0755,0.6385,1.4875,5.2514,1.4368,3.0959,9.7057,0,0,0.1273,0,0,27001,27223,126310,55512,47.07,55.17,149.26,150.9,15.42,0.7,20.07,3.16,13.92,19.37,0,46,1
latencia,none,leitura,450,5,1,54,2026-09-23T04:52:17.949Z,450.0097,27001,1.2256,0.7319,1.8333,2.3076,3.471,1002.3697,0.7161,1.396,2.9557,2.1899,3.2201,6.0972,0,0,,0,0,27001,31909,67207,59303,30.92,36.63,126.99,128.8,13.4,0.77,20.06,3.64,14.8,18.8,0,47,1
latencia,http,leitura,450,5,1,55,2026-09-23T04:53:56.257Z,450.0142,27001,0.5719,0.1643,1.8387,3.1821,4.6275,14.0275,0.1582,1.1086,1.5926,3.1851,5.1954,6.6163,0,0,0.8976,21835,2735,5166,5295,18758,10854,15.72,25.7,124.29,125.9,5.17,1.03,20.07,4.32,19.79,27.63,0,48,1
latencia,none,mista,450,5,1,56,2026-09-23T04:55:34.576Z,446.8593,27001,1.4402,1.3685,1.9335,2.2898,5.268,513.6117,0.6383,1.4091,3.6363,1.6177,2.7556,6.233,0,0,,0,0,27001,29695,97585,57835,41.23,50.9,139.68,140.5,14.95,0.74,20.08,3.39,14.28,20.3,0,47,1
latencia,redis,mista,450,5,1,57,2026-09-23T04:57:12.582Z,450.0004,27001,1.4635,1.5034,2.1185,2.4601,5.7604,502.2664,0.7271,1.6343,3.4656,1.7541,2.9065,6.7683,0,0,0.3926,0,0,27001,24409,87025,47275,42.41,49.1,137.02,138.4,13.29,2.65,39.32,3.45,14.67,28.16,0,47,1
latencia,redis,escrita,450,5,1,58,2026-09-23T04:58:50.486Z,450.0075,27001,1.7599,1.5302,2.1698,2.7299,6.461,502.0181,0.7524,1.779,4.0489,1.5566,2.8936,6.5566,0,0,0.128,0,0,27001,27222,126307,55509,50.28,58.53,148.32,149.1,15.29,2.47,24.92,3.17,14.71,41.5,0,47,1
latencia,http,escrita,450,5,1,59,2026-09-23T05:00:28.416Z,450.0027,27001,1.5243,1.409,1.8883,2.3758,5.5949,69.9856,0.1141,0.9935,2.0881,1.4314,2.5077,5.733,0,0,0.7822,2101,43,24900,24972,122303,51502,44.62,52.37,147.76,148.5,14.56,0.72,21.43,3.27,14.83,40.27,0,46,1
latencia,http,mista,450,5,1,60,2026-09-23T05:02:06.301Z,449.992,27000,1.0475,0.9433,2.022,2.3368,4.2291,13.5378,0.1093,0.7909,1.3229,1.702,2.7288,5.9089,0,0,0.8632,11569,959,15431,15550,71867,32120,32.31,41.73,132.19,133.3,10.19,0.74,21.28,3.38,14.42,19.31,0,46,1
